Model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std,Unnamed: 0,Std. Dev.,PCA
logistic regression,0.527832512315271,0.061406662733428,0.5311659582247817,0.0691170552491873,0.4838095238095238,0.1152774431052705,0.5005190591222173,0.0839746560646887,0.519795918367347,0.0609900651850359,,,Yes
random forest,0.5007389162561575,0.0657598567256825,0.5522418757712875,0.0686427867334911,0.5514285714285715,0.1214761811427821,0.5093575326333948,0.1091200559913509,0.5428571428571429,0.0882875530665022,,,Yes
xgboost,0.5030788177339901,0.1098053341606356,0.4850949489107384,0.1574278212769513,0.4661904761904762,0.1951039027795666,0.4694046345811051,0.1683886580848471,0.493639455782313,0.1105624317804594,,,Yes
logistic regression,0.8285714285714286,,0.8280580693815989,,0.8099999999999999,,0.8324649488442593,,0.8764965986394555,,0.0,0.0821348568659394,No
random forest,0.9057881773399016,,0.9373854087089384,,0.86,,0.8931849162661176,,0.9731632653061224,,1.0,0.0169941789883257,No
xgboost,0.9443349753694582,,0.9875,,0.9023809523809524,,0.9409711708799584,,0.9918367346938776,,2.0,0.0087686520688759,No
