,Model,accuracy,precision,recall,f1,Std. Dev.,roc_auc
0,logistic regression,0.8285714285714286,0.8280580693815989,0.8099999999999999,0.8324649488442593,0.08213485686593944,0.8764965986394555
1,random forest,0.9057881773399015,0.9373854087089383,0.86,0.8931849162661176,0.01699417898832572,0.9731632653061224
2,xgboost,0.9443349753694582,0.9875,0.9023809523809524,0.9409711708799584,0.00876865206887595,0.9918367346938777
