Model,accuracy,precision,recall,f1,roc_auc
logistic regression,0.5209359605911329,0.5173333529215883,0.508095238095238,0.5099510535606198,0.5345238095238095
random forest,0.622783251231527,0.632176295926296,0.6290476190476191,0.5652938600540284,0.6736224489795919
xgboost,0.9509852216748769,0.9823529411764707,0.9233333333333335,0.9480594899682775,0.9907823129251699
